date,priceJP,priceUSA_TAIWAN,importPriceUSA,importPriceJP,weightA,stock,gosi,priceCN,USD_KR
2021-10-04,469.8901978,474.7807922,495.6294556,484.7450562,559.1745605,795.9163208,933.338623,596.1918945,1187.5
2021-10-11,474.3995972,475.2442627,506.9367676,499.8375244,570.2252808,818.2263184,937.1575928,598.800293,1196.5
2021-10-18,474.0768738,471.1596375,507.3712463,498.2033997,576.0278931,833.6702881,927.7570801,598.1829834,1187.5
2021-10-25,474.2203979,467.206604,507.5624695,499.9815674,582.3766479,866.3586426,919.6749268,598.2243652,1202.787
2021-11-01,469.4402466,459.3920288,506.7622986,496.691803,580.9749756,884.7669067,914.1478271,593.4889526,1209.169
2021-11-08,467.9958191,455.3204041,501.3796997,490.2548828,578.6312866,879.6560669,903.9835815,592.9724731,1217.809
2021-11-15,464.3211365,449.5037842,504.9032898,492.2849426,580.2602539,895.8647461,909.8053589,593.5241089,1249.115
2021-11-22,452.9914856,436.7432251,505.7579346,491.7832642,583.4533691,916.6303101,899.5950928,587.2703247,1269.379
2021-11-29,447.4927368,429.7115784,502.3838501,488.8595581,577.6592407,922.2071533,888.7780151,581.9328003,1282.001
2021-12-06,446.7324829,426.3989258,507.6706848,494.9562073,586.0028076,926.8202515,894.9827881,578.8483887,1285.992
2021-12-13,439.5054321,417.322937,504.4379578,491.0885315,586.8829956,914.9797363,886.3931885,577.2576904,1289.563
2021-12-20,438.6347656,416.3313599,513.3049316,496.6785583,588.7988892,896.8357544,907.9257813,567.2105103,1301.104
2021-12-27,432.8721619,407.6569214,503.8215637,489.7998047,590.869812,862.536377,883.3049316,553.3112183,1300.271
2022-01-03,431.1411438,403.3233337,489.7028809,478.8141174,588.3793335,797.9069214,871.7969971,552.0379639,1306.576
2022-01-10,432.4463806,399.2485046,476.0125427,468.3703918,588.906311,702.1760254,879.6907959,557.7808838,1310.295
2022-01-17,420.355957,389.1696472,461.5923462,459.2359009,579.1577759,715.6563721,869.5213013,550.560791,1314.023
2022-01-24,405.8674316,374.8516541,454.1747742,454.2914124,566.7440796,796.1643066,861.0092773,533.552063,1324.942
2022-01-31,402.6571655,375.7060547,449.2947998,450.4690857,550.09375,846.1470947,852.9981079,551.8606567,1315.869