date,gosi,weightA,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock,USD_KR,JPY_KR
2021-10-15,928,546,559559,520625.1,692055,609245,632905,884,1183,1035.04
2021-10-08,928,535,551201.5,505438.3,694061.5,613107.5,619060,914,1190.5,1068.58
2021-10-01,928,528,550304,481663,690252,610790,539630,955,1186,1058.6
2021-09-24,930,527,544736,478683.5,673876,557650,534170,938,1174,1068.49
2021-09-17,930,535,533942.5,475259.3,687671,557412.5,533942.5,938,1173.5,1072.82
2021-09-10,930,537,530010,473600.1,685620,555750,526500,870,1170,1064.27
2021-09-03,930,545,512551,472630.9,664118,549575,526435,788,1157,1052.63
2021-08-27,925,551,517140,483250.9,668070,600795,526500,688,1170,1062.09
2021-08-20,925,546,522144,496482.6,683168,607984,532800,690,1184,1079.31
2021-08-13,925,545,508515,488650.8,685034,600281.5,531895,705,1169,1059.98
2021-08-06,925,545,497205,486296.4,681228,586930.5,520065,756,1143,1041.32
2021-07-30,862,545,504900,490365.7,683910,589241.3,539325,778,1147.5,1047.79
2021-07-23,862,534,528079.5,489462.7,669591,590781.8,546487.5,711,1150.5,1041.41
2021-07-16,862,533,527142,488135,665203,585903.5,547680,713,1141,1036.38
2021-07-09,862,523,534052.5,491342.5,667278.5,589754.8,551280,725,1148.5,1043.19
2021-07-02,862,511,519152,478028.3,661152,579360,556640,784,1136,1019.25
2021-06-25,845,511,509856,472653.6,657624,575280,552720,777,1128,1018.65
2021-06-18,845,499,508725,477303.9,646646,576555,576555,803,1130.5,1026.46
2021-06-11,845,493,495062.5,471396.2,625225,572937.5,522875,821,1112.5,1015.94
2021-06-04,845,492,490820,470868.3,624680,600139,513130,790,1115.5,1012.62
2021-05-28,803,492,511555.5,471905.3,675387,599601,523815,776,1114.5,1014.85
2021-05-21,803,472,532652,471569.8,734653.5,569892.5,552965,855,1128.5,1038.7
2021-05-14,803,443,515496,417988.4,651984,569640,564000,895,1128,1032.07
2021-05-07,803,430,487417.5,414770.6,612913.5,500863.5,481815,968,1120.5,1026.66
2021-04-30,803,429,467460,412960.7,601020,479703,478590,957,1113,1022.18
2021-04-23,803,429,471163,415877,599560.5,481211.5,480095,894,1116.5,1034.52
2021-04-16,803,415,479235,387982.3,579540,480349.5,479235,904,1114.5,1023.7
2021-04-09,803,409,464800,385098,579040,482720,464800,962,1120,1021.48
2021-04-02,803,394,452328,387258.4,582048,486168,451200,936,1128,1021.79
2021-03-26,715,396,440505,395248.3,561361.5,486814.5,451800,938,1129.5,1031.98
2021-03-19,715,405,452000,401397.5,561610,487030,463300,853,1130,1039.89
2021-03-12,715,412,485285.5,409486.4,564840.5,504037.8,477330,839,1136.5,1041.95
2021-03-05,715,401,485470,396579.1,561113,500711.5,491115,818,1129,1040.89
2021-02-26,715,382,477275,390472.1,554762,498050.5,477275,912,1123,1058.19
2021-02-19,715,361,441400,369841.6,545129,431468.5,446917.5,945,1103.5,1047.71
2021-02-10,715,360,405535,356606.7,545870,439790,386750,943,1105,1058.18
2021-02-05,715,369,412141,358115.5,554762,446954,393050,939,1123,1065.82
2021-01-29,715,381,441412.5,395141.5,508462.5,491700,391125,972,1117.5,1067.95
2021-01-22,715,404,460785,413701.1,502775,486200,436475,918,1105,1066.24
2021-01-15,715,418,489500,412491.7,500500,484000,462000,795,1100,1060.39
2021-01-08,715,408,488124,408745.6,496860,480480,469560,733,1092,1050.76
2021-01-01,715,387,485889,388948.1,479367,478280,456540,811,1087,1054.06
2020-12-25,685,377,482011,392881.7,486423,485320,463260,852,1103,1064.72
2020-12-18,685,329,439400,363104.8,484438.5,483340,455877.5,831,1098.5,1061.71
2020-12-11,685,312,398580,327144.5,481572,334152,436800,845,1092,1048.54
2020-12-04,685,312,350132,303399.5,478044,331704,357720,853,1084,1042.61
2020-11-27,685,312,344760,298489.4,442000,338130,353600,855,1105,1062.24
2020-11-20,685,308,343882,290293.2,446600,341649,340532.5,810,1116.5,1075.16
2020-11-13,685,303,325142,272283.8,445400,340731,339617.5,857,1113.5,1059.47
2020-11-06,685,287,322848,270890,448400,343026,319485,925,1121,1083.56
2020-10-30,685,283,317660,268397.6,457203.5,347157,311987.5,933,1134.5,1086.63
2020-10-23,685,285,310200,265271.6,454584,345168,293280,908,1128,1078.34
2020-10-16,685,289,303690,267916.1,461838,350676,297960,893,1146,1089.09
2020-10-09,685,288,310022.5,267416.8,464457.5,352665,311175,920,1152.5,1087.06
2020-10-02,685,289,315630,272103.1,471107,357714,315630,912,1169,1106.11
2020-09-25,660,298,324644,272440,460596,330504,316440,852,1172,1112
2020-09-18,660,301,333207,263371,456273,327402,325080,837,1161,1111.27
2020-09-11,660,306,332360,259220.6,466491,334734,332360,808,1187,1117.33
2020-09-04,660,308,321030,258662.3,467277,335298,321030,731,1189,1119.75
2020-08-28,660,294,317312,251545.5,451104,333888,319680,632,1184,1117.98
2020-08-21,660,293,309140,238871,453009,335298,321030,596,1189,1126.75
2020-08-14,660,272,305988,232299.3,451866,334452,296500,745,1186,1111.48
2020-08-07,660,260,299931.5,231261.8,451675.5,334311,296375,907,1185.5,1122.63
2020-07-31,660,259,293930,234135.5,437920,335580,297500,993,1190,1136.58
2020-07-24,660,260,292329,231791.5,442704,339246,288720,1038,1203,1130.69
2020-07-17,660,265,284262,230436.4,443256,339669,277035,1037,1204.5,1124.08
2020-07-10,660,276,282352.5,232972.3,442152,338823,270337.5,1041,1201.5,1125.47
2020-07-03,660,286,280566,251048.3,441232,338118,275770,992,1199,1115.77
2020-06-26,663,296,293877.5,259212,425822.5,338259,299875,854,1199.5,1122.13
2020-06-19,663,296,308040,254196,428840,340656,308040,783,1208,1129.76
2020-06-12,663,294,294735,236575.3,427065,306765,306765,783,1203,1121.21
2020-06-05,663,282,286533,215804.6,429195,308295,296205,826,1209,1106.69
2020-05-29,663,271,284625,208845,400950,315562.5,290812.5,767,1237.5,1153.84
2020-05-22,663,260,285315,203019.5,401922,316327.5,285315,765,1240.5,1153.52
2020-05-15,663,262,281784.5,202248.6,398682,313777.5,283015,748,1230.5,1149.14
2020-05-08,663,245,267399,203242,395604,318681,262515,809,1221,1148.26
2020-05-01,663,242,276713,202565.9,447373,318159,225515,905,1219,1144.44
2020-04-24,663,227,274847.5,203710.3,452327.5,321682.5,228012.5,919,1232.5,1144.44
2020-04-17,663,233,259221,204347.2,446639,317637,225145,976,1217,1128.99
2020-04-10,663,233,239976,202390.6,444804,316332,224220,1034,1212,1118.18
2020-04-03,663,242,250299,205974.4,452511,321813,234270,992,1233,1137.98
2020-03-27,660,243,260286,207499.7,469248,318942,256620,968,1222,1121.62
2020-03-20,660,250,279337.5,209092.6,476736,324031.5,266922.5,961,1241.5,1130.23
2020-03-13,660,254,283910.5,214166,467904,318028.5,286347.5,962,1218.5,1151.43
2020-03-06,660,251,288684,207792,456192,310068,279180,1004,1188,1123.2
2020-02-28,660,250,298870,205990.1,474320,315810,296450,999,1210,1113.46
2020-02-21,660,253,278645,200599.2,474908,316201.5,266530,1030,1211.5,1084.32
2020-02-14,660,261,256602.5,212131.6,463540,308632.5,260150,1026,1182.5,1076.81
2020-02-07,660,271,279885,234016.6,466872,310851,273930,938,1191,1083.41
2020-01-31,660,272,298500,248658.1,463272,343275,304470,875,1194,1095.41
2020-01-24,660,274,292000,246389.2,453184,335800,297840,838,1168,1066.62
2020-01-17,660,280,301340,243989.8,449692,330315,301340,780,1159,1051.68
2020-01-10,660,274,311282,245954.8,450662,331027.5,296182.5,787,1161.5,1060.15
2020-01-03,660,263,315225,249877.3,455325,332737.5,309387.5,851,1167.5,1081.72
2019-12-27,714,263,313740,245174.2,453180,331170,307930,817,1162,1061.36
2019-12-20,714,265,309853.5,245130.3,452595,330742.5,307532.5,823,1160.5,1061.17
2019-12-13,714,261,305761.5,239420.2,456885,333877.5,296389.5,823,1171.5,1068.84
2019-12-06,714,261,302133,242050.3,463905,327112.5,297375,866,1189.5,1095.25
2019-11-29,714,243,295000,234847,456778,287920,295000,898,1180,1077.28
2019-11-22,714,241,291896,229731.7,455616.7,287188,282480,951,1177,1083.64
2019-11-15,714,240,284748,222572.6,451745.7,284748,256740,1016,1167,1075.23
2019-11-08,714,245,281272.5,219204.7,447952.5,282430,254650,1048,1157.5,1058.96
2019-11-01,714,254,279720,223377.8,442890,284382,256410,1062,1165.5,1079.12
2019-10-25,714,265,273425.5,225818.2,445930,286334,258170,1050,1173.5,1080.47
2019-10-18,714,279,263363,227105.7,448780,288164,259820,1057,1181,1086.63
2019-10-11,714,293,264478,235057.6,450680,289384,260920,1068,1186,1098.4
2019-10-04,714,300,274113,245591,454860,292068,287280,1046,1197,1121.42
2019-09-27,731,311,281765,244479.4,456819,329725,287760,974,1199,1111.27
2019-09-20,731,320,290116,244599.6,453009,326975,297250,920,1189,1101.8
2019-09-13,731,326,301014,257311.2,455104.5,334460,310570,926,1194.5,1109.1
2019-09-06,731,324,307243.5,268048.8,455485.5,335935.5,310830,915,1195.5,1116.87
2019-08-30,731,326,325221,277237.7,479973,368745,326430,918,1209,1136.22
2019-08-23,731,327,333025,277176.7,480767,369355,326970,873,1211,1135.97
2019-08-16,731,322,339080,278233.2,480767,369355,326970,918,1211,1140.3
2019-08-09,731,313,345135,279233.6,480767,369355,333025,981,1211,1144.4
2019-08-02,731,314,336140,274014.4,454989.5,366152.5,330137.5,1041,1200.5,1123.01
2019-07-26,731,316,335213.5,264962.3,448925.5,361272.5,319815,1094,1184.5,1090.38
2019-07-19,731,316,329140,265470.2,445514.5,358527.5,317385,1157,1175.5,1092.47
2019-07-12,731,322,327762,264539.5,446841,359595,318330,1073,1179,1088.64
2019-07-05,731,324,316305,268961,443998.5,357307.5,316305,1116,1171.5,1084.52
2019-06-28,722,334,309674,278928,433312.5,352427.5,323540,976,1155.5,1072.8
2019-06-21,722,341,320237.5,293769.4,450661.5,355172.5,326060,976,1164.5,1084.02
2019-06-14,722,344,343795,305574.8,444562.5,365134,343795,883,1185.5,1095.25
2019-06-07,722,347,343795,307029,444562.5,365134,355650,927,1185.5,1092.63
2019-05-31,722,327,339435,310872.1,460917,366828,357300,996,1191,1094.62
2019-05-24,722,328,326837.5,309179.4,459949.5,366058,356550,984,1188.5,1084.84
2019-05-17,722,326,334880,314291.5,462852,368368,364780,1035,1196,1091.29
2019-05-10,722,317,329840,313190.4,455886,367536,359290,1067,1178,1072.57
2019-05-03,722,320,331251.5,311841.1,452983.5,385094.5,362855,1126,1170.5,1049.97
2019-04-26,722,330,328421.5,308675.1,451434.5,381804.5,359755,1093,1160.5,1039.31
2019-04-19,722,344,321629.5,309742.8,442098.5,373908.5,357997.5,1022,1136.5,1015.55
2019-04-12,722,357,330020,321305.6,442682,376678,369850,884,1138,1016.79
2019-04-05,722,342,341400,329072.4,442682,378954,375540,957,1138,1018.8
2019-03-29,733,338,352160,328115.2,449856,397600,386240,927,1136,1025.36
2019-03-22,733,338,347004,323998,449064,396900,385560,870,1134,1025.31
2019-03-15,733,338,340950,319595.5,450054,384137,386410,878,1136.5,1017.82
2019-03-08,733,334,339963,316487.1,450252,384306,363840,918,1137,1024.23
2019-03-01,733,313,348440,303482,437236,348440,342820,935,1124,1014.99
2019-02-22,733,310,342972.5,293384.1,437430.5,348595,342972.5,967,1124.5,1015.17
2019-02-15,733,319,314001,286700.4,439375.5,350145,321907.5,917,1129.5,1023.93
2019-02-08,733,327,308825,286378.4,436847,348130,320055,913,1123,1022.78
2019-02-01,733,327,296402.5,287616,411608,346735,318772.5,913,1118.5,1027.2
2019-01-25,733,335,291720,285964,412896,338844,319770,838,1122,1021.3
2019-01-18,733,340,291720,288112.1,412896,338844,325380,691,1122,1025.31
2019-01-11,733,328,295740,295773.6,410688,343728,329220,776,1116,1030.57
2019-01-04,733,307,309100,296636.6,413632,351812,331580,826,1124,1040.83
2018-12-28,745,306,307037.5,288174.9,426503,349464.5,329367.5,917,1116.5,1011.14
2018-12-21,745,306,312333,287246.1,429177,355026,331432.5,965,1123.5,1011.43
2018-12-14,745,306,320922,282575.5,433188,368550,334530,1020,1134,998.5
2018-12-07,745,316,319342.5,289929.7,428031,375367.5,336150,1065,1120.5,992.91
2018-11-30,745,319,330990,297836.5,431970,375870,342210,1078,1122,989.49
2018-11-23,745,329,339750,308034.6,436012.5,405435,356737.5,1058,1132.5,1003.37
2018-11-16,745,338,346910,321175.7,435050,404540,367250,1035,1130,997.44
2018-11-09,745,348,355635,336260.9,434665,404182,383860,1038,1129,991.92
2018-11-02,745,350,357920,345663.6,429504,400423,391475,1071,1118.5,990.44
2018-10-26,745,356,374248,355418.1,438144,408478,399350,1008,1141,1018.39
2018-10-19,745,356,377289,349682.3,435072,405614,422609,1037,1133,1007.73
2018-10-12,745,357,380688,349935.6,435072,405614,422609,1032,1133,1008.46
2018-10-05,745,355,378550,343477.7,433920,404540,401150,1001,1130,992.71
2018-09-21,710,356,367328.5,336681.6,424270,393008,396357.5,1015,1116.5,990.24
2018-09-14,710,361,363350,337908.7,424840,393536,396890,987,1118,999.73
2018-09-07,710,362,359360,345739.9,426740,395296,398665,961,1123,1013.9
2018-08-31,710,362,359352,344623.1,370512,392832,396180,920,1116,1007.67
2018-08-24,710,363,361275.5,339335.1,371342,393712,400423,910,1118.5,1003.95
2018-08-17,710,359,364338,336173.5,373334,395824,402571,900,1124.5,1015.63
2018-08-10,710,353,366925,337183.1,374828,394021,404182,951,1129,1018.68
2018-08-03,710,341,372240,333039.3,374496,393672,394800,969,1128,1009.21
2018-07-27,710,337,374697.5,330954.3,382527,399304.5,391475,960,1118.5,1005.94
2018-07-20,710,333,380225,332158.4,388170,405195,385900,922,1135,1009.6
2018-07-13,710,340,379220,330194.3,387144,404124,373560,905,1132,1003.63
2018-07-06,710,327,373860,332953.5,381672,398970,368280,951,1116,1008.95
2018-06-29,725,319,367290,332856.9,414036,397897.5,367290,973,1113,1005.61
2018-06-22,725,319,365475,334691.6,411990,395931.3,365475,951,1107.5,1005.08
2018-06-15,725,326,356362.5,333412.8,407898,391998.8,367327.5,983,1096.5,992.3
2018-06-08,725,330,355410,330963.4,400644,388258.5,366180,892,1077,985.01
2018-06-01,725,331,363181,328495.7,377149.5,387357.3,365330,907,1074.5,983.52
2018-05-25,725,317,366180,326332.8,378027,390412.5,371565,997,1077,982.93
2018-05-18,725,307,367200,313438,379080,391500,372600,1053,1080,973.41
2018-05-11,725,305,363460,314986.8,375219,388047,352770,1091,1069,978.22
2018-05-04,725,313,364026,313986.8,378027,390951,355410,1142,1077,987.38
2018-04-27,725,320,355080,312908.8,410924.4,390588,355080,1122,1076,983.99
2018-04-20,725,336,353100,315418.2,408633,395900,353100,1093,1070,995.01
2018-04-13,725,348,374500,326114,408633,374500,358450,1059,1070,994.25
2018-04-06,725,354,379672.5,341535.4,405554.4,374325,374325,997,1069.5,995.73
2018-03-30,715,359,377187.5,353067.1,402900,371875,382500,931,1062.5,1000.19
2018-03-23,715,357,399600,362331.2,409536,378000,399600,922,1080,1029.35
2018-03-16,715,341,389455,351935.1,404606.4,373450,394790,924,1067,1008.41
2018-03-09,715,330,374850,347204.1,406123.2,374850,396270,1003,1071,1003.48
2018-03-02,715,327,362712,350103.5,409346.4,377825,394017.5,1071,1079.5,1020.71
2018-02-23,715,329,350675,346306.5,423723.3,377650,366860,1050,1079,1009.64
2018-02-16,715,330,350675,344821.3,423723.3,377650,366860,1051,1079,1005.31
2018-02-09,715,337,353925,351835.1,427650.3,381150,375705,1026,1089,996.7
2018-02-02,715,345,368900,354850,426079.5,379750,385175,998,1085,988.44
2018-01-26,715,356,375412.5,351972,398310,372750,388725,962,1065,977.7
2018-01-19,715,361,380740.5,335816.5,398871,373275,394605,899,1066.5,964.99
2018-01-12,715,354,372750,328384.8,398310,372750,383400,907,1065,957.39
2018-01-05,715,349,366907.5,321360.3,324899.3,372225,382860,927,1063.5,939.65
2017-12-29,685,348,362950,324120.2,326121.3,373625,384300,957,1067.5,947.72
2017-12-22,685,348,356400,325826.8,329940,378000,388800,936,1080,952.71
2017-12-15,685,346,354250,329626.7,332995,381500,386950,934,1090,972.35
2017-12-08,685,341,338046,320858.8,334217,382900,382900,953,1094,963.54
2017-12-01,685,328,335265,320194.1,300653.5,376495,368900,941,1085,964.44
2017-11-24,685,319,331535,315286.8,301207.7,353275,364145,987,1087,976.12
2017-11-17,685,301,333148.5,305691.5,304671.5,357337.5,362835,1033,1099.5,976.65
2017-11-10,685,302,333462,298648.9,310074.9,363675,352485,1030,1119,985.64
2017-11-03,685,308,320148.5,288480.5,309105.1,359191,345805,981,1115.5,977.9
2017-10-27,685,310,317530,292566.3,311654,363860,344650,942,1130,991.75
2017-10-20,685,319,311575,294817.1,312481.4,364826,345565,897,1133,999.38
2017-10-13,685,328,310475,298220,310249.2,363538,344345,800,1129,1007.5
2017-09-29,645,329,332485,313885.9,316090.1,402421.5,361147.5,747,1146.5,1019.11
2017-09-22,645,326,334825,307111.7,312919.5,398385,368875,733,1135,1013.57
2017-09-15,645,316,331383,303412.2,311816.7,396981,367575,762,1131,1021.59
2017-09-08,645,303,332220,311558.9,311541,396630,367250,783,1130,1049.02
2017-09-01,645,302,333234,302773.7,296881.2,378114,364650,769,1122,1019.44
2017-08-25,645,300,334719,294984.3,298204.2,379799,377545,728,1127,1027.82
2017-08-18,645,288,330890,281613.4,301908.6,384517,370825,724,1141,1046.89
2017-08-11,645,273,320320,276055.3,302702.4,322608,354640,767,1144,1049.64
2017-08-04,645,258,309512.5,265761.6,297807.3,317391,332022.5,878,1125.5,1022.16
2017-07-28,645,254,302805,258186.2,253683.3,316263,330842.5,915,1121.5,1008.54
2017-07-21,645,253,294297,254228.6,253117.8,315558,318915,961,1119,1000.9
2017-07-14,645,257,292959,242554.2,256850.1,320211,300907.5,941,1135.5,1002.29
2017-07-07,645,261,291962,245380.7,261034.8,325428,305810,913,1154,1013.97
2017-06-30,635,261,284607,247275.6,252717.3,320040,297180,939,1143,1021.8
2017-06-23,635,250,284500,244413.4,251611.8,318640,300432,977,1138,1022.65
2017-06-16,635,240,281108,234215.9,250616.9,317380,294710,1043,1133.5,1018.33
2017-06-09,635,239,272008,233064.8,248404,314720,269760,1096,1124,1017.75
2017-06-02,635,239,267274,230644.2,248183,314440,269520,1141,1123,1007.18
2017-05-26,635,246,266322,228634.4,270350.4,313320,279750,1125,1119,1007.2
2017-05-19,635,250,267274,230641.9,271316.8,314440,269520,1127,1123,1007.17
2017-05-12,635,254,261580,228258.9,272404,315700,270600,1132,1127.5,992.43
2017-04-28,635,260,267430,268125.6,295311,318640,290190,1117,1138,1023.38
2017-04-21,635,263,284000,283244.5,294792,318080,301040,1181,1136,1041.34
2017-04-14,635,264,290955,290279.4,296089.5,319480,308070,1205,1141,1047.94
2017-04-07,635,271,294840,286064.3,294273,317520,306180,1194,1134,1025.32
2017-03-31,620,277,301860,283795.5,289450.2,313040,313040,1117,1118,999.28
2017-03-24,620,284,312055,286681,290615.3,314300,325525,1110,1122.5,1009.44
2017-03-17,620,278,318373,279122.8,293333.7,316107,345565,1065,1133,1000.44
2017-03-10,620,263,319470,264778.8,299676.8,322942.5,353037.5,1005,1157.5,1002.95
2017-03-03,620,252,311233,255109.7,299547.3,322803,335530,1085,1157,1012.34
2017-02-24,620,252,284006.5,246021.7,287061.6,315688.5,322477.5,1141,1131.5,1004.17
2017-02-17,620,255,281260,250381.4,291247.6,320292,304220,1055,1148,1013.69
2017-02-10,620,256,272076,250554.4,291247.6,320292,292740,1064,1148,1010.3
2017-02-03,620,264,280356,256797.5,291501.3,320571,281505,1007,1149,1015.01
2017-01-27,620,270,296437.5,260719.7,294577.5,324337.5,290625,1019,1162.5,1022.43
2017-01-20,620,270,294674,261391.4,297491.6,327546,316980,944,1174,1021.06
2017-01-13,620,280,294925,263114,297745,327825,329000,846,1175,1023.79
2017-01-06,620,295,301955.5,260931.7,302432.9,337760.5,334180,869,1193.5,1027.29