weightA_p50,scrap_gap_50,weightA_p90,scrap_gap_90,weightA_p10,scrap_gap_10
295000.0,-3.0,295000.0,-3.0,295000.0,-3.0
280000.0,-3.0,280000.0,-3.0,280000.0,-3.0
270000.0,-3.0,270000.0,-3.0,270000.0,-3.0
270000.0,-3.0,270000.0,-3.0,270000.0,-3.0
264000.0,620000.0,264000.0,620000.0,264000.0,620000.0
256000.0,620000.0,256000.0,620000.0,256000.0,620000.0
255000.0,620000.0,255000.0,620000.0,255000.0,620000.0
252000.0,620000.0,252000.0,620000.0,252000.0,620000.0
252000.0,-1.0,252000.0,-1.0,252000.0,-1.0
263000.0,-1.0,263000.0,-1.0,263000.0,-1.0
278000.0,-1.0,278000.0,-1.0,278000.0,-1.0
284000.0,-1.0,284000.0,-1.0,284000.0,-1.0
277000.0,-1.0,277000.0,-1.0,277000.0,-1.0
271000.0,-3.0,271000.0,-3.0,271000.0,-3.0
264000.0,-3.0,264000.0,-3.0,264000.0,-3.0
263000.0,-3.0,263000.0,-3.0,263000.0,-3.0
260000.0,-3.0,260000.0,-3.0,260000.0,-3.0
254000.0,628079.6538461539,254000.0,628079.6538461539,254000.0,628079.6538461539
250000.0,628079.6538461539,250000.0,628079.6538461539,250000.0,628079.6538461539
246000.0,628079.6538461539,246000.0,628079.6538461539,246000.0,628079.6538461539
239000.0,619999.4871794872,239000.0,619999.4871794872,239000.0,619999.4871794872
239000.0,619999.4871794872,239000.0,619999.4871794872,239000.0,619999.4871794872
240000.0,619999.4871794872,240000.0,619999.4871794872,240000.0,619999.4871794872
250000.0,619999.4871794872,250000.0,619999.4871794872,250000.0,619999.4871794872
261000.0,619999.4871794872,261000.0,619999.4871794872,261000.0,619999.4871794872
261000.0,617273.5205128205,261000.0,617273.5205128205,261000.0,617273.5205128205
257000.0,617273.5205128205,257000.0,617273.5205128205,257000.0,617273.5205128205
253000.0,617273.5205128205,253000.0,617273.5205128205,253000.0,617273.5205128205
254000.0,617273.5205128205,254000.0,617273.5205128205,254000.0,617273.5205128205
258000.0,652674.3833333333,258000.0,652674.3833333333,258000.0,652674.3833333333
273000.0,652674.3833333333,273000.0,652674.3833333333,273000.0,652674.3833333333
288000.0,652674.3833333333,288000.0,652674.3833333333,288000.0,652674.3833333333
300000.0,652674.3833333333,300000.0,652674.3833333333,300000.0,652674.3833333333
302000.0,666949.0083333333,302000.0,666949.0083333333,302000.0,666949.0083333333
303000.0,666949.0083333333,303000.0,666949.0083333333,303000.0,666949.0083333333
316000.0,666949.0083333333,316000.0,666949.0083333333,316000.0,666949.0083333333
326000.0,666949.0083333333,326000.0,666949.0083333333,326000.0,666949.0083333333
329000.0,666949.0083333333,329000.0,666949.0083333333,329000.0,666949.0083333333
328000.0,645000.0,328000.0,645000.0,328000.0,645000.0
319000.0,645000.0,319000.0,645000.0,319000.0,645000.0
310000.0,645000.0,310000.0,645000.0,310000.0,645000.0
308000.0,708014.1602564103,308000.0,708014.1602564103,308000.0,708014.1602564103
302000.0,708014.1602564103,302000.0,708014.1602564103,302000.0,708014.1602564103
301000.0,708014.1602564103,301000.0,708014.1602564103,301000.0,708014.1602564103
319000.0,708014.1602564103,319000.0,708014.1602564103,319000.0,708014.1602564103
328000.0,704850.3248397436,328000.0,704850.3248397436,328000.0,704850.3248397436
341000.0,704850.3248397436,341000.0,704850.3248397436,341000.0,704850.3248397436
346000.0,704850.3248397436,346000.0,704850.3248397436,346000.0,704850.3248397436
348000.0,704850.3248397436,348000.0,704850.3248397436,348000.0,704850.3248397436
348000.0,704850.3248397436,348000.0,704850.3248397436,348000.0,704850.3248397436
349000.0,683600.785576923,349000.0,683600.785576923,349000.0,683600.785576923
354000.0,683600.785576923,354000.0,683600.785576923,354000.0,683600.785576923
361000.0,683600.785576923,361000.0,683600.785576923,361000.0,683600.785576923
356000.0,683600.785576923,356000.0,683600.785576923,356000.0,683600.785576923
345000.0,741191.3125,345000.0,741191.3125,345000.0,741191.3125
337000.0,741191.3125,337000.0,741191.3125,337000.0,741191.3125
330000.0,741191.3125,330000.0,741191.3125,330000.0,741191.3125
329000.0,741191.3125,329000.0,741191.3125,329000.0,741191.3125
327000.0,733219.0625,327000.0,733219.0625,327000.0,733219.0625
330000.0,733219.0625,330000.0,733219.0625,330000.0,733219.0625
341000.0,733219.0625,341000.0,733219.0625,341000.0,733219.0625
357000.0,733219.0625,357000.0,733219.0625,357000.0,733219.0625
359000.0,733219.0625,359000.0,733219.0625,359000.0,733219.0625
354000.0,733559.389423077,354000.0,733559.389423077,354000.0,733559.389423077
348000.0,733559.389423077,348000.0,733559.389423077,348000.0,733559.389423077
336000.0,733559.389423077,336000.0,733559.389423077,336000.0,733559.389423077
320000.0,733559.389423077,320000.0,733559.389423077,320000.0,733559.389423077
313000.0,717457.9980769231,313000.0,717457.9980769231,313000.0,717457.9980769231
305000.0,717457.9980769231,305000.0,717457.9980769231,305000.0,717457.9980769231
307000.0,717457.9980769231,307000.0,717457.9980769231,307000.0,717457.9980769231
317000.0,717457.9980769231,317000.0,717457.9980769231,317000.0,717457.9980769231
331000.0,707912.7168269231,331000.0,707912.7168269231,331000.0,707912.7168269231
330000.0,707912.7168269231,330000.0,707912.7168269231,330000.0,707912.7168269231
326000.0,707912.7168269231,326000.0,707912.7168269231,326000.0,707912.7168269231
319000.0,707912.7168269231,319000.0,707912.7168269231,319000.0,707912.7168269231
319000.0,707912.7168269231,319000.0,707912.7168269231,319000.0,707912.7168269231
327000.0,708473.3607692306,327000.0,708473.3607692306,327000.0,708473.3607692306
340000.0,708473.3607692306,340000.0,708473.3607692306,340000.0,708473.3607692306
333000.0,708473.3607692306,333000.0,708473.3607692306,333000.0,708473.3607692306
337000.0,708473.3607692306,337000.0,708473.3607692306,337000.0,708473.3607692306
341000.0,721029.6498076924,341000.0,721029.6498076924,341000.0,721029.6498076924
353000.0,721029.6498076924,353000.0,721029.6498076924,353000.0,721029.6498076924
359000.0,721029.6498076924,359000.0,721029.6498076924,359000.0,721029.6498076924
363000.0,721029.6498076924,363000.0,721029.6498076924,363000.0,721029.6498076924
362000.0,721029.6498076924,362000.0,721029.6498076924,362000.0,721029.6498076924
362000.0,730090.5860576923,362000.0,730090.5860576923,362000.0,730090.5860576923
361000.0,730090.5860576923,361000.0,730090.5860576923,361000.0,730090.5860576923
356000.0,730090.5860576923,356000.0,730090.5860576923,356000.0,730090.5860576923
355000.0,733704.5748076923,355000.0,733704.5748076923,355000.0,733704.5748076923
357000.0,733704.5748076923,357000.0,733704.5748076923,357000.0,733704.5748076923
356000.0,733704.5748076923,356000.0,733704.5748076923,356000.0,733704.5748076923
356000.0,733704.5748076923,356000.0,733704.5748076923,356000.0,733704.5748076923
350000.0,754291.5375,350000.0,754291.5375,350000.0,754291.5375
348000.0,754291.5375,348000.0,754291.5375,348000.0,754291.5375
338000.0,754291.5375,338000.0,754291.5375,338000.0,754291.5375
329000.0,754291.5375,329000.0,754291.5375,329000.0,754291.5375
319000.0,754291.5375,319000.0,754291.5375,319000.0,754291.5375
316000.0,742860.6625,316000.0,742860.6625,316000.0,742860.6625
306000.0,742860.6625,306000.0,742860.6625,306000.0,742860.6625
306000.0,742860.6625,306000.0,742860.6625,306000.0,742860.6625
306000.0,742860.6625,306000.0,742860.6625,306000.0,742860.6625
307000.0,748919.2432692307,307000.0,748919.2432692307,307000.0,748919.2432692307
328000.0,748919.2432692307,328000.0,748919.2432692307,328000.0,748919.2432692307
340000.0,748919.2432692307,340000.0,748919.2432692307,340000.0,748919.2432692307
335000.0,748919.2432692307,335000.0,748919.2432692307,335000.0,748919.2432692307
327000.0,714996.9307692307,327000.0,714996.9307692307,327000.0,714996.9307692307
327000.0,714996.9307692307,327000.0,714996.9307692307,327000.0,714996.9307692307
319000.0,714996.9307692307,319000.0,714996.9307692307,319000.0,714996.9307692307
310000.0,714996.9307692307,310000.0,714996.9307692307,310000.0,714996.9307692307
313000.0,712833.0807692307,313000.0,712833.0807692307,313000.0,712833.0807692307
334000.0,712833.0807692307,334000.0,712833.0807692307,334000.0,712833.0807692307
338000.0,712833.0807692307,338000.0,712833.0807692307,338000.0,712833.0807692307
338000.0,712833.0807692307,338000.0,712833.0807692307,338000.0,712833.0807692307
338000.0,712833.0807692307,338000.0,712833.0807692307,338000.0,712833.0807692307
342000.0,720005.4307692307,342000.0,720005.4307692307,342000.0,720005.4307692307
357000.0,720005.4307692307,357000.0,720005.4307692307,357000.0,720005.4307692307
344000.0,720005.4307692307,344000.0,720005.4307692307,344000.0,720005.4307692307
330000.0,720005.4307692307,330000.0,720005.4307692307,330000.0,720005.4307692307
320000.0,739329.05,320000.0,739329.05,320000.0,739329.05
317000.0,739329.05,317000.0,739329.05,317000.0,739329.05
326000.0,739329.05,326000.0,739329.05,326000.0,739329.05
328000.0,739329.05,328000.0,739329.05,328000.0,739329.05
327000.0,739329.05,327000.0,739329.05,327000.0,739329.05
347000.0,731535.52,347000.0,731535.52,347000.0,731535.52
344000.0,731535.52,344000.0,731535.52,344000.0,731535.52
341000.0,731535.52,341000.0,731535.52,341000.0,731535.52
334000.0,731535.52,334000.0,731535.52,334000.0,731535.52
324000.0,730636.55,324000.0,730636.55,324000.0,730636.55
322000.0,730636.55,322000.0,730636.55,322000.0,730636.55
316000.0,730636.55,316000.0,730636.55,316000.0,730636.55
316000.0,730636.55,316000.0,730636.55,316000.0,730636.55
314000.0,711636.0625,314000.0,711636.0625,314000.0,711636.0625
313000.0,711636.0625,313000.0,711636.0625,313000.0,711636.0625
322000.0,711636.0625,322000.0,711636.0625,322000.0,711636.0625
327000.0,711636.0625,327000.0,711636.0625,327000.0,711636.0625
326000.0,711636.0625,326000.0,711636.0625,326000.0,711636.0625
324000.0,713496.68125,324000.0,713496.68125,324000.0,713496.68125
326000.0,713496.68125,326000.0,713496.68125,326000.0,713496.68125
320000.0,713496.68125,320000.0,713496.68125,320000.0,713496.68125
311000.0,713496.68125,311000.0,713496.68125,311000.0,713496.68125
300000.0,711379.1769230769,300000.0,711379.1769230769,300000.0,711379.1769230769
293000.0,711379.1769230769,293000.0,711379.1769230769,293000.0,711379.1769230769
279000.0,711379.1769230769,279000.0,711379.1769230769,279000.0,711379.1769230769
265000.0,711379.1769230769,265000.0,711379.1769230769,265000.0,711379.1769230769
254000.0,714000.0,254000.0,714000.0,254000.0,714000.0
245000.0,714000.0,245000.0,714000.0,245000.0,714000.0
240000.0,714000.0,240000.0,714000.0,240000.0,714000.0
241000.0,714000.0,241000.0,714000.0,241000.0,714000.0
243000.0,714000.0,243000.0,714000.0,243000.0,714000.0
261000.0,714000.0,261000.0,714000.0,261000.0,714000.0
261000.0,714000.0,261000.0,714000.0,261000.0,714000.0
265000.0,714000.0,265000.0,714000.0,265000.0,714000.0
263000.0,714000.0,263000.0,714000.0,263000.0,714000.0
263000.0,660000.0,263000.0,660000.0,263000.0,660000.0
274000.0,660000.0,274000.0,660000.0,274000.0,660000.0
280000.0,660000.0,280000.0,660000.0,280000.0,660000.0
274000.0,660000.0,274000.0,660000.0,274000.0,660000.0
272000.0,660000.0,272000.0,660000.0,272000.0,660000.0
271000.0,675291.0192307692,271000.0,675291.0192307692,271000.0,675291.0192307692
261000.0,675291.0192307692,261000.0,675291.0192307692,261000.0,675291.0192307692
253000.0,675291.0192307692,253000.0,675291.0192307692,253000.0,675291.0192307692
250000.0,675291.0192307692,250000.0,675291.0192307692,250000.0,675291.0192307692
251000.0,666597.7567307693,251000.0,666597.7567307693,251000.0,666597.7567307693
254000.0,666597.7567307693,254000.0,666597.7567307693,254000.0,666597.7567307693
250000.0,666597.7567307693,250000.0,666597.7567307693,250000.0,666597.7567307693
243000.0,666597.7567307693,243000.0,666597.7567307693,243000.0,666597.7567307693
242000.0,662626.9653846154,242000.0,662626.9653846154,242000.0,662626.9653846154
233000.0,662626.9653846154,233000.0,662626.9653846154,233000.0,662626.9653846154
233000.0,662626.9653846154,233000.0,662626.9653846154,233000.0,662626.9653846154
227000.0,662626.9653846154,227000.0,662626.9653846154,227000.0,662626.9653846154
242000.0,632156.1413461538,242000.0,632156.1413461538,242000.0,632156.1413461538
245000.0,632156.1413461538,245000.0,632156.1413461538,245000.0,632156.1413461538
262000.0,632156.1413461538,262000.0,632156.1413461538,262000.0,632156.1413461538
260000.0,632156.1413461538,260000.0,632156.1413461538,260000.0,632156.1413461538
271000.0,632156.1413461538,271000.0,632156.1413461538,271000.0,632156.1413461538
282000.0,643952.6725961538,282000.0,643952.6725961538,282000.0,643952.6725961538
294000.0,643952.6725961538,294000.0,643952.6725961538,294000.0,643952.6725961538
296000.0,643952.6725961538,296000.0,643952.6725961538,296000.0,643952.6725961538
296000.0,643952.6725961538,296000.0,643952.6725961538,296000.0,643952.6725961538
286000.0,658507.2076923077,286000.0,658507.2076923077,286000.0,658507.2076923077
276000.0,658507.2076923077,276000.0,658507.2076923077,276000.0,658507.2076923077
265000.0,658507.2076923077,265000.0,658507.2076923077,265000.0,658507.2076923077
260000.0,658507.2076923077,260000.0,658507.2076923077,260000.0,658507.2076923077
259000.0,658507.2076923077,259000.0,658507.2076923077,259000.0,658507.2076923077
260000.0,671148.1661538462,260000.0,671148.1661538462,260000.0,671148.1661538462
272000.0,671148.1661538462,272000.0,671148.1661538462,272000.0,671148.1661538462
293000.0,671148.1661538462,293000.0,671148.1661538462,293000.0,671148.1661538462
294000.0,671148.1661538462,294000.0,671148.1661538462,294000.0,671148.1661538462
308000.0,677303.0436538463,308000.0,677303.0436538463,308000.0,677303.0436538463
306000.0,677303.0436538463,306000.0,677303.0436538463,306000.0,677303.0436538463
301000.0,677303.0436538463,301000.0,677303.0436538463,301000.0,677303.0436538463
298000.0,677303.0436538463,298000.0,677303.0436538463,298000.0,677303.0436538463
289000.0,684651.3923076923,289000.0,684651.3923076923,289000.0,684651.3923076923
288000.0,684651.3923076923,288000.0,684651.3923076923,288000.0,684651.3923076923
289000.0,684651.3923076923,289000.0,684651.3923076923,289000.0,684651.3923076923
285000.0,684651.3923076923,285000.0,684651.3923076923,285000.0,684651.3923076923
283000.0,684651.3923076923,283000.0,684651.3923076923,283000.0,684651.3923076923
287000.0,689882.4538461538,287000.0,689882.4538461538,287000.0,689882.4538461538
303000.0,689882.4538461538,303000.0,689882.4538461538,303000.0,689882.4538461538
308000.0,689882.4538461538,308000.0,689882.4538461538,308000.0,689882.4538461538
312000.0,689882.4538461538,312000.0,689882.4538461538,312000.0,689882.4538461538
312000.0,698118.0788461538,312000.0,698118.0788461538,312000.0,698118.0788461538
312000.0,698118.0788461538,312000.0,698118.0788461538,312000.0,698118.0788461538
329000.0,698118.0788461538,329000.0,698118.0788461538,329000.0,698118.0788461538
377000.0,698118.0788461538,377000.0,698118.0788461538,377000.0,698118.0788461538
387000.0,685890.4307692307,387000.0,685890.4307692307,387000.0,685890.4307692307
408000.0,685890.4307692307,408000.0,685890.4307692307,408000.0,685890.4307692307
418000.0,685890.4307692307,418000.0,685890.4307692307,418000.0,685890.4307692307
404000.0,685890.4307692307,404000.0,685890.4307692307,404000.0,685890.4307692307
381000.0,685890.4307692307,381000.0,685890.4307692307,381000.0,685890.4307692307
369000.0,715000.0,369000.0,715000.0,369000.0,715000.0
360000.0,715000.0,360000.0,715000.0,360000.0,715000.0
361000.0,715000.0,361000.0,715000.0,361000.0,715000.0
382000.0,715000.0,382000.0,715000.0,382000.0,715000.0
401000.0,715000.0,401000.0,715000.0,401000.0,715000.0
412000.0,715000.0,412000.0,715000.0,412000.0,715000.0
405000.0,715000.0,405000.0,715000.0,405000.0,715000.0
396000.0,715000.0,396000.0,715000.0,396000.0,715000.0
394000.0,715000.0,394000.0,715000.0,394000.0,715000.0
409000.0,715000.0,409000.0,715000.0,409000.0,715000.0
415000.0,715000.0,415000.0,715000.0,415000.0,715000.0
429000.0,715000.0,429000.0,715000.0,429000.0,715000.0
429000.0,715000.0,429000.0,715000.0,429000.0,715000.0
430000.0,867153.7492307692,430000.0,867153.7492307692,430000.0,867153.7492307692
443000.0,867153.7492307692,443000.0,867153.7492307692,443000.0,867153.7492307692
472000.0,867153.7492307692,472000.0,867153.7492307692,472000.0,867153.7492307692
492000.0,867153.7492307692,492000.0,867153.7492307692,492000.0,867153.7492307692
492000.0,845000.0,492000.0,845000.0,492000.0,845000.0
493000.0,845000.0,493000.0,845000.0,493000.0,845000.0
499000.0,845000.0,499000.0,845000.0,499000.0,845000.0
511000.0,845000.0,511000.0,845000.0,511000.0,845000.0
511000.0,845000.0,511000.0,845000.0,511000.0,845000.0
523000.0,845000.0,523000.0,845000.0,523000.0,845000.0
533000.0,845000.0,533000.0,845000.0,533000.0,845000.0
534000.0,845000.0,534000.0,845000.0,534000.0,845000.0
545000.0,845000.0,545000.0,845000.0,545000.0,845000.0
545000.0,930000.0,545000.0,930000.0,545000.0,930000.0
545000.0,930000.0,545000.0,930000.0,545000.0,930000.0
546000.0,930000.0,546000.0,930000.0,546000.0,930000.0
551000.0,930000.0,551000.0,930000.0,551000.0,930000.0
545000.0,930000.0,545000.0,930000.0,545000.0,930000.0
537000.0,930000.0,537000.0,930000.0,537000.0,930000.0
535000.0,930000.0,535000.0,930000.0,535000.0,930000.0
527000.0,930000.0,527000.0,930000.0,527000.0,930000.0
528000.0,930000.0,528000.0,930000.0,528000.0,930000.0
535000.0,930000.0,535000.0,930000.0,535000.0,930000.0
546000.0,930000.0,546000.0,930000.0,546000.0,930000.0
568000.0,930000.0,568000.0,930000.0,568000.0,930000.0
584610.6567,930000.0,606117.7368,930000.0,571172.6685,930000.0
585477.7222,974475.9581687693,611528.5033999999,1051226.8913827692,563899.6582,958495.5895707693
617903.7476,974475.9581687693,617903.7476,1051226.8913827692,582140.3809,958495.5895707693
613149.7803,974475.9581687693,642670.5933,1051226.8913827692,590053.5278,958495.5895707693
650375.7935,974475.9581687693,650375.7935,1051226.8913827692,605604.1259999999,958495.5895707693
659785.7056,974475.9581687693,659785.7056,1051226.8913827692,616755.0049,958495.5895707693
657742.6147,949179.6000000001,691748.4741,1016005.0,623517.2729,977185.0882467693
678941.04,949179.6000000001,678941.04,1016005.0,633276.8555000001,977185.0882467693
664617.0654,949179.6000000001,693388.4277,1016005.0,637439.7583,977185.0882467693
693083.9233,949179.6000000001,716722.9614,1016005.0,643877.2583,977185.0882467693
699396.3622999999,1028438.0000000001,723091.98,1064651.0,656541.687,903593.9942220879
712079.2847,1028438.0000000001,712079.2847,1064651.0,653860.4126,903593.9942220879
705635.1318,1028438.0000000001,705635.1318,1064651.0,705635.1318,903593.9942220879
719334.5947,1028438.0000000001,743951.5991,1064651.0,583518.5547,903593.9942220879
734595.2759,1028438.0000000001,734595.2759,1064651.0,679946.4111,903593.9942220879
744450.0122,1028438.0000000001,744450.0122,1064651.0,681574.8901,946706.5
731650.8788999999,1028438.0000000001,766365.7227,1064651.0,731650.8788999999,946706.5
752823.1812,1028438.0000000001,752823.1812,1064651.0,687451.5991,946706.5
755116.5161,1028438.0000000001,781882.9346,1064651.0,695847.4121000001,946706.5
